ID_Llamada,Fecha,Numero_Cliente,ID_Problema,Solucionado
86,8/10/2019,43,2,SI
13,7/3/2019,74,2,SI
85,12/2/2018,12,2,NO
67,1/5/2019,90,2,NO
53,5/12/2019,66,2,SI
21,9/13/2019,16,2,SI
79,3/19/2019,52,2,NO
72,3/18/2019,2,2,SI
54,1/8/2019,90,2,NO
33,10/27/2019,56,2,NO
31,5/14/2019,76,2,NO
22,11/18/2019,29,2,SI
26,11/10/2019,25,2,SI
80,11/30/2018,23,2,NO
35,2/6/2019,79,2,NO
97,8/19/2019,78,2,SI
78,5/16/2019,76,2,SI
24,1/1/2019,70,2,SI
73,6/4/2019,33,2,NO
90,11/23/2018,79,2,SI
10,8/13/2019,40,2,SI
47,11/25/2018,21,2,NO
76,7/12/2019,75,2,NO
33,12/10/2018,95,2,NO
21,6/27/2019,7,2,SI
