ID_Llamada,Fecha,Numero_Cliente,ID_Problema,Solucionado
29,8/8/2019,9,1,SI
98,7/16/2019,39,1,SI
77,12/24/2018,38,1,NO
95,1/19/2019,93,1,SI
5,9/29/2019,25,1,SI
53,6/18/2019,82,1,SI
7,3/3/2019,46,1,NO
65,8/23/2019,40,1,SI
56,5/28/2019,35,1,SI
5,12/25/2018,27,1,NO
89,3/26/2019,86,1,SI
22,11/21/2018,43,1,NO
82,6/19/2019,38,1,SI
105,10/10/2019,36,1,NO
42,9/11/2019,11,1,SI
25,11/26/2018,28,1,NO
49,6/17/2019,55,1,NO
36,1/16/2019,72,1,SI
51,8/25/2019,81,1,SI
17,6/27/2019,11,1,SI
94,7/6/2019,74,1,SI
47,2/16/2019,100,1,NO
30,5/31/2019,87,1,NO
49,9/23/2019,100,1,SI
