ID_Llamada,Fecha,Numero_Cliente,ID_Problema,Solucionado
81,11/1/2019,71,5,NO
19,5/8/2019,25,5,SI
88,4/1/2019,9,5,NO
105,12/24/2018,2,5,SI
30,11/9/2019,53,5,NO
75,5/30/2019,43,5,NO
92,10/7/2019,8,5,NO
92,11/5/2019,49,5,SI
72,11/27/2018,50,5,SI
94,3/23/2019,88,5,SI
18,11/17/2019,60,5,SI
103,3/9/2019,13,5,NO
76,7/13/2019,42,5,SI
92,3/31/2019,66,5,SI
45,6/24/2019,25,5,SI
98,2/1/2019,40,5,SI
101,8/5/2019,59,5,NO
20,7/17/2019,20,5,SI
89,8/7/2019,10,5,NO
74,9/18/2019,58,5,NO
101,4/7/2019,19,5,SI
88,10/6/2019,15,5,SI
